,brand,category,cost,year,debt_ratio,profit,fairness,growth,stability
335,명가통닭,치킨,330.0,3,28,5,3,0,2
336,무쏘,한식,8940.0,6,145,3,3,5,4
337,한스델리,기타 외식,9300.0,20,185,3,3,2,4
338,에그셀런트,패스트푸드,11795.0,8,39,5,3,5,2
339,정통집,한식,6844.0,5,97,4,3,4,3
340,니뽕내뽕,기타 외식,9058.0,11,72,3,3,2,3
341,밥통령,한식,880.0,11,199,3,3,3,4
342,남다른감자탕(男다른감子탕),한식,17371.0,17,740,3,3,3,5
343,지정환피자,패스트푸드,6200.0,18,23,3,3,3,2
344,지호한방삼계탕,한식,11220.0,18,59,4,3,3,3
345,존가네,한식,2962.0,7,141,5,3,4,4
346,손큰할매순대국,한식,9130.0,9,191,2,3,1,4
347,옥탑방오봉자싸롱,주점,5199.0,9,3,2,3,1,2
348,임실N치즈피자,피자,10224.0,18,6953,3,3,1,5
349,남가네설악추어탕,기타 외식,12239.0,21,32,4,3,3,2
350,벌떡,분식,869.0,4,64,5,3,5,3
351,보네스뻬,제과제빵,19480.0,6,87,2,3,5,3
352,남가네설악추어탕,기타 외식,12239.0,21,32,4,3,3,2
353,어벤더치커피,커피,8915.0,8,312,3,3,3,4
354,토스트굽는사람들,기타 외식,5051.0,9,119,4,3,1,3
355,일백집,주점,8200.0,9,180,4,3,5,4
356,무꼬뭐꼬떡볶이,분식,4630.0,10,109,5,3,5,3
357,미스터빠삭,기타 외식,7820.0,5,392,4,3,5,5
358,카페글렌,커피,8484.0,14,158,4,3,3,4
359,스위트초이스,제과제빵,3850.0,10,2375,2,3,5,5
360,빨봉분식,기타 외식,6564.0,10,351,2,3,2,5
361,노브랜드,패스트푸드,32247.0,28,209,2,3,3,4
362,롤링파스타,서양식,13390.0,29,78,4,3,4,3
363,빚은,기타 외식,17725.0,55,290,2,3,3,4
364,방일해장국,한식,8860.0,17,42,3,3,2,2
365,아주커,치킨,3230.0,25,13,4,3,3,2
366,지지고(GGGO),분식,3697.0,4,-220,1,3,4,1
367,짝태패밀리,주점,3500.0,9,127,4,3,1,3
368,부산빨간어묵포차,분식,2470.0,5,1795,4,3,4,5
369,장미맨숀,주점,9690.0,3,83,5,3,0,3
370,치킨678,치킨,11798.0,16,58,1,3,2,3
371,고집센그집갈비탕,한식,7414.0,4,-300,5,3,5,1
372,치교치킨,치킨,3563.0,6,979,1,3,3,5
373,33떡볶이,기타 외식,5099.0,3,5349,3,3,0,5
374,나드리김밥,기타 외식,6845.0,10,-250,1,3,2,1
375,전설의치킨,치킨,5095.0,5,56,4,3,3,3
376,행복한찜닭,한식,1991.0,5,90,5,3,5,3
377,"고기,원칙",한식,8877.0,7,87,1,3,2,3
378,스테프핫도그,패스트푸드,9291.0,24,21,2,3,2,2
379,양계장집아들,치킨,6253.0,7,-162,1,3,2,1
380,오땅비어,주점,4961.0,7,283,4,3,0,4
381,파파이스,패스트푸드,21482.0,30,-452,1,3,2,1
382,순남시래기,기타 외식,11330.0,8,6,2,3,3,2
383,한방전주콩나물국밥,한식,9650.0,11,200,3,3,4,4
384,베러댄와플,커피,5600.0,6,-777,3,3,2,1
385,샌드리아,기타 외식,12010.0,15,1277,2,3,3,5
386,참이맛감자탕,한식,11850.0,18,131,3,3,3,3
387,엘리팝,주점,7493.0,16,134,3,3,2,3
388,종로김밥,기타 외식,5000.0,17,402,3,3,2,5
389,8800켄터키치킨,치킨,3280.0,13,67,4,3,3,3
390,홍탕,중식,3960.0,11,198,4,3,5,4
391,배달삼겹직구삼,한식,3630.0,6,172,4,3,2,4
392,구삼짜글이,한식,2810.0,3,128,5,3,0,3
393,봉이치킨,치킨,2530.0,6,211,3,3,3,4
394,육수당,한식,10525.0,49,63,2,3,1,3
395,완산골명가,기타 외식,8520.0,11,61,2,3,1,3
396,브라운돈까스,기타 외식,7912.0,7,-249,1,3,3,1
397,엉터리생고기,기타 외식,19970.0,12,28,3,3,2,2
398,2도맥주,주점,6600.0,7,498,1,3,1,5
399,달빛경성술집,주점,3970.0,8,46,5,3,3,2
400,달빛경성술집,주점,3970.0,8,46,5,3,3,2
401,김영희강남동태찜,기타 외식,10400.0,19,53,2,3,3,3
402,범프리카인생치킨,치킨,4790.0,3,32,5,3,0,2
403,김밥나라,분식,4290.0,19,257,3,3,4,4
404,홍대쌀국수,기타 외국식,6690.0,7,45,5,3,2,2
405,경성주막1929,주점,9815.0,10,139,4,3,3,3
406,매머드커피(Mammoth,커피,8562.0,11,524,4,3,4,5
407,짬뽕지존,중식,15125.0,8,29,5,3,3,2
408,명동찌개마을,기타 외식,4950.0,11,2,3,3,1,2
409,배달짜글OH짜글,한식,3940.0,4,7,5,3,0,2
410,송주불냉면앤칼국수,한식,4335.0,6,41,5,3,4,2
411,홍대개미,기타 외식,15686.0,7,33,3,3,2,2
412,노군꼬치,기타 외식,6770.0,7,115,4,3,3,3
413,5.5닭갈비,한식,7470.0,16,32,2,3,3,2
414,Emoi(에머이),기타 외국식,15003.0,8,50,3,3,1,2
415,용구비어,주점,6699.0,9,13138,1,3,1,5
416,누리마을감자탕,한식,17130.0,12,65,3,3,2,3
417,알리바바(ALIBABA),커피,14370.0,7,-204,2,3,4,1
418,피굽남피자,피자,5148.0,5,74,5,3,2,3
419,자연정가,한식,12490.0,17,338,3,3,3,4
420,아임일리터,커피,7960.0,4,286,4,3,4,4
421,생선지존진땡이,한식,8748.0,15,171,4,3,3,4
422,강정구의,피자,10270.0,9,-529,1,3,4,1
423,바빈스,커피,6900.0,21,71,3,3,4,3
424,정선생,주점,10230.0,17,487,1,2,1,5
425,롤링핀,제과제빵,31195.0,10,141,2,3,2,4
426,버거앤프라이즈(Burger&Friez),기타 외식,8330.0,7,69,4,3,5,3
427,킹콩쥬스엔커피,음료 (커피 외),5392.0,7,-398,1,3,1,1
428,옥이네김치찌개와직화삼겹,한식,2874.0,4,-702,5,3,4,1
429,투사랑,주점,2545.0,17,0,4,3,2,2
430,반달커피,커피,6355.0,3,112,5,3,0,3
431,돈까스클럽,서양식,24095.0,14,47,2,3,2,2
432,WITCH,기타 외식,7240.0,8,-222,1,3,3,1
433,나뚜루(Natuur),아이스크림/빙수,12495.0,6,91,3,3,3,3
434,오븐에,한식,1872.0,10,76,5,3,5,3
435,gre,분식,3004.0,5,277,3,3,5,4
436,허갈닭강정,치킨,1820.0,5,1169,3,3,2,5
437,밥맛나는세상,분식,6462.0,32,212,3,3,3,4
438,만땅치킨,치킨,3665.0,4,184,3,3,1,4
439,피자빙고,피자,5637.0,18,546,4,3,4,5
440,오늘통닭,치킨,6020.0,14,139,3,3,2,3
441,김영희동태찜&코다리냉면,한식,10400.0,19,53,2,3,3,3
442,타이거슈가(TIGER,음료 (커피 외),9780.0,5,187,2,3,2,4
443,빨라쪼델프레도,아이스크림/빙수,11300.0,21,1992,1,3,2,5
444,킹스타피자,피자,5480.0,8,-111,1,3,3,1
445,천사곱창,한식,5910.0,7,123,5,3,4,3
446,몬떡,분식,5947.0,20,53,3,3,3,3
447,조선주막,주점,8065.0,10,433,2,3,1,5
448,가르텐호프앤레스트,주점,11875.0,4,-3629,2,3,5,1
449,국제통닭,치킨,4306.0,4,94,5,3,5,3
